Item,Description,Qty,Unit Price USD,Total USD,Item link,Supplier,Status
Aluminium LED channel + diffuser,"muzata u1sw 17x7mm, 6 x 1m, milky diffuser. heatsinks the strip, bare tape on plastic cooks itself and dims",1,19.99,19.99,https://www.amazon.com/Muzata-Aluminum-Mounting-Installations-Diffuser/dp/B01M09PBYX,Amazon,TO BUY
12V 100W PSU,"fsjee ysd-12100-qtl sealed ip67 12v 8.3a driver, ul listed file e498189, moulded 3-prong cord. the only supply, runs lights and dosers off one 12v rail",1,34.99,34.99,https://www.amazon.com/FSJEE-LED-Transformer/dp/B0GSVGLT2N,Amazon,TO BUY
Waterproof connectors and wire,"twippo 50 set, 1-6 pin, 22-16 awg, crimper included. lets me unplug a sensor instead of cutting it out of the loom",1,39.99,39.99,https://www.amazon.com/Twippo-Waterproof-Automotive-Electrical-Connectors/dp/B0CBJV2WSM,Amazon,TO BUY
22awg silicone hookup wire,"tuofeng, 6 colours, 8m each. the sensor runs. the connector kit ships no wire at all",1,15.69,15.69,https://www.amazon.com/Electric-Flexible-Silicone-different-Electronic/dp/B07G2JWYDW,Amazon,TO BUY
16awg silicone wire 50ft,"milapeak, 25ft red plus 25ft black. 12V feed to the led strip at 4.5A, 22awg would drop too much",1,17.89,17.89,https://www.amazon.com/Silicone-Flexible-Stranded-Strands-MILAPEAK/dp/B07CMYVF3J,Amazon,TO BUY
Drip tray,"lwalrs 16in saucer, 2.25in deep, 2 per pack. passive leak containment when sensors and plumbing have all failed",1,29.99,29.99,https://www.amazon.com/Saucers-Extra-Deep-Drainage-Indoors-Plastic/dp/B0CPBC6ML3?th=1,Amazon,TO BUY
Rockwool starter cubes 1.5in,"wangshiqi, 56 per pack. seeds need somewhere to germinate before they go into a net pot",1,12.59,12.59,https://www.amazon.com/dp/B0DJSXHQJ6/ref=twister_B0DJSZQ1ZC?_encoding=UTF8&th=1,Amazon,TO BUY
pH replacement electrode,"0-14 glass electrode, bnc, 300cm cable. the old bulb is cracked, the board it plugs into is fine",1,17.90,17.90,https://www.amazon.com/Connector-Electrode-Replacement-Aquarium-Hydroponics/dp/B07KG7RVVH,Amazon,TO BUY
General Hydroponics pH Control Kit,"ph up and ph down plus indicator. ph drifts up as the plants feed, this pulls it back",1,18.89,18.89,https://www.amazon.com/dp/B000BNKWZY,Amazon,TO BUY
General Hydroponics Flora Series trio,"floramicro / floragro / florabloom, 32oz quarts. the actual food, bare roots in plain water starve",1,39.86,39.86,https://www.amazon.com/Hydroponics-GH-Flora-FloraMicro-FloraBloom/dp/B01HG98GX0,Amazon,TO BUY
Analog EC/TDS probe + interface board,"dfrobot gravity tds kit, 0-1000ppm. nutrient strength, and confirms a dose actually landed in the tank",1,11.90,11.90,https://www.amazon.com/Gravity-Waterproof-Anti-Polarization-0-1000ppm-Hydroponics/dp/B086GX2539,Amazon,TO BUY
